,Time_Range,Raw_Data,Station,PM2.5,Latitude,Longitude,Lines
30,2020-02,collected from the ticket hall at Oxford Circus station (0.70 mg/m3).     ,collected from the ticket hall at oxford circus station,0.70,,,
31,2020-02,190189/01  RD  Personal  - LUL Station Staff - CSA2   01/07/19  09:59  14:00  2.2  530.2  1.03 ,rd  personal  - lul station staff - csa,2.2,,,
32,2020-02,190189/11  RD  Personal – LUL Station Staff  02/07/19  09:56  14:01  2.2  539  0.64  Service Assistant Level 1 (CSA1)  ,rd  personal,2.2,,,
33,2020-02,"190189/13  RD  Static – District, Hammersmith and  02/07/19  10:07  14:10  2.2  534.6  0.80  at the station throughout the sampling ",rd  static,2.2,,,
34,2020-02,190189/17  RD  Static – Ticket Hall    03/07/19  09:50  14:25  2.20  605  0.15  To platforms 3 & 4 (E/B) ,rd  static,2.20,,,
35,2020-02,190189/22  RD  Static - Hammersmith & Circle Lines    03/07/19  09:58  14:21  2.20  578.6  0.26  Platform 5 (E/B) ,rd  static - hammersmith & circle lines,2.20,,,
36,2020-02,"190189/34  RD  Personal – LUL Station Staff  19/07/19  2.2  424.6  0.04  duties at Gate line, with occasional ",rd  personal,2.2,,,
37,2020-02,190189/38  RD  Static - Piccadilly line E/B platform  12/07/19  09:08  13:10  2.2  532.4  0.99 ,rd  static - piccadilly line e,2.2,,,
38,2020-02,190189/39  RD  Static - Northern line S/B platform  12/07/19  09:18  13:21  2.2  534.6  0.70 ,rd  static - northern line s,2.2,,,
39,2020-02,190189/40  RD  Static - Piccadilly line W/B platform  12/07/19  09:12  13:13  2.2  530.2  1.45  Moderate levels of dust noted on the ,rd  static - piccadilly line w,2.2,,,
40,2020-02,190189/41  RD  Static - Victoria line S/B platform   12/07/19  09:29  13:30  2.2  530.2  1.17 ,rd  static - victoria line s,2.2,,,
41,2020-02,190189/42  RD  Static - Northern Line N/B platform  12/07/19  09:22  13:23  2.2  530.2  0.73 ,rd  static - northern line n,2.2,,,
42,2020-02,190189/45  RD  Static - Victoria line N/B platform   12/07/19  09:26  13:27  2.2  530.2  0.73  platform throughout the duration of ,rd  static - victoria line n,2.2,,,
43,2020-02,190189/46  RD  Personal – LUL Station Staff  12/07/19  09:32  13:48  2.2  563.2  0.06  location throughout the duration of ,rd  personal,2.2,,,
44,2020-02,192020/21  RD  Personal – LUL Station Staff  15/07/19  07:53  11:12  2.2  437.8  0.69 ,rd  personal,2.2,,,
45,2020-02,192020/22*  RD  Static - Bakerloo Line S/B platform  15/07/19  07:59  11:18  2.2  437.6  1.64* ,rd  static - bakerloo line s,2.2,,,
46,2020-02,192020/23  RD  Static - Victoria Line S/B platform  15/07/19  08:06  12:12  2.2  541.2  1.10 ,rd  static - victoria line s,2.2,,,
47,2020-02,192020/24  RD  Static - Bakerloo Line N/B platform  15/07/19  08:15  12:19  2.2  536.8  1.19 ,rd  static - bakerloo line n,2.2,,,
48,2020-02,192020/25  RD  Static - Victoria Line N/B platform  15/07/19  08:22  12:22  2.2  528  1.10   ,rd  static - victoria line n,2.2,,,
49,2020-02,192020/26  RD  Static - Central line W/B platform  15/07/19  08:38  12:40  2.2  532.4  0.98 ,rd  static - central line w,2.2,,,
50,2020-02,190189/58*  RD  Static – Bakerloo Line S/B    29/07/19  10:21  14:24  2.2  534.6  1.56  noted on all platforms throughout the ,rd  static,2.2,,,
51,2020-02,190189/60  RD  Personal – 4RS Technologist    29/07/19  10:32  14:37  2.2  539  0.05  station within ticket hall area. Moderate ,rd  personal,2.2,,,
52,2020-02,190189/55  RD  Static - Central Line W/B   30/07/19  09:34  13:41  2.2  609.4  1.09  General dust levels on all platforms ,rd  static - central line w,2.2,,,
53,2020-02,190189/64  RD  Personal – LUL station staff  05/08/19  11:00  14:30  2.2  462  0.19  station within ticket hall area. Moderate ,rd  personal,2.2,,,
54,2020-10 to 2020-11,FIGURE 2. IMPACTOR HEADS TO MONITOR PM2.5 AND PM10 AERODYNAMIC DIAMETER DUST FRACTION ,figure,2.5,,,
55,2020-10 to 2020-11,1.2.3   Undertake static and personal monitoring at 12 London Underground stations  ,undertake static and personal monitoring at,1.2,,,
56,2020-10 to 2020-11,1.2.4   Undertake static and personal monitoring at an additional twelve stations from ,undertake static and personal monitoring at an additional twelve stations from,1.2,,,
57,2020-10 to 2020-11,1.2.5   Additionally a single inhalable sample will be taken at each station from a ,additionally a single inhalable sample will be taken at each station from a,1.2,,,
58,2020-10 to 2020-11,"platform,  as  per  Scope  document  ES12102  version  v3,  09.01.2020.  ‘London ",platform,09.01,,,
59,2020-10 to 2020-11,3.2.1.  PM2.5 – sampled using SKC Personal Environmental Monitor (PEM) PM2.5 ,pm,3.2,,,
60,2020-10 to 2020-11,3.2.2.  PM10 – sampled using SKC Personal Environmental Monitor (PEM) PM2.5 ,pm,3.2,,,
61,2020-10 to 2020-11,5.1.1.  Aldgate East Station ,aldgate east station,5.1,,,
62,2020-10 to 2020-11,5.1.2.  Baker Street Station ,baker street station,5.1,,,
63,2020-10 to 2020-11,5.1.3.  Elephant & Castle Station ,elephant & castle station,5.1,,,
64,2020-10 to 2020-11,5.1.4.  Euston Square Station ,euston square station,5.1,,,
65,2020-10 to 2020-11,"from 0.56 mg/m3 to 0.07mg/m3, recorded for the sample collected from Platform 2. ",from,0.56,,,
66,2020-10 to 2020-11,5.1.5.  Hampstead Station ,hampstead station,5.1,,,
67,2020-10 to 2020-11,"from 1.09 mg/m3 to 0.46mg/m3, recorded for the sample collected from Platform 1. ",from,1.09,,,
68,2020-10 to 2020-11,5.1.6.  King’s Cross Station ,king,5.1,,,
69,2020-10 to 2020-11,5.1.7.  Oxford Circus Station ,oxford circus station,5.1,,,
70,2020-10 to 2020-11,5.1.8.  Paddington Station ,paddington station,5.1,,,
71,2020-10 to 2020-11,5.1.9.  Piccadilly Circus Station ,piccadilly circus station,5.1,,,
72,2020-10 to 2020-11,5.1.10. Tottenham Court Road Station ,tottenham court road station,5.1,,,
73,2020-10 to 2020-11,5.1.11. Vauxhall Station ,vauxhall station,5.1,,,
74,2020-10 to 2020-11,5.1.12. Waterloo Station ,waterloo station,5.1,,,
75,2020-10 to 2020-11,5.1.13. Westminster Station ,westminster station,5.1,,,
76,2020-10 to 2020-11,5.1.14. Mile End Station ,mile end station,5.1,,,
77,2020-10 to 2020-11,5.1.15. Holborn Station  ,holborn station,5.1,,,
78,2020-10 to 2020-11,5.1.16. Kennington Station ,kennington station,5.1,,,
79,2020-10 to 2020-11,5.1.18. Tooting Bec Station ,tooting bec station,5.1,,,
80,2020-10 to 2020-11,5.1.20. Bank Station ,bank station,5.1,,,
81,2020-10 to 2020-11,5.1.21. Moorgate Station ,moorgate station,5.1,,,
82,2020-10 to 2020-11,5.1.22. Embankment Station ,embankment station,5.1,,,
83,2020-10 to 2020-11,5.1.23. Canada Water Station ,canada water station,5.1,,,
84,2020-10 to 2020-11,5.1.24. Colliers Wood Station ,colliers wood station,5.1,,,
85,2020-10 to 2020-11,5.2.1.  Aldgate East Station ,aldgate east station,5.2,,,
86,2020-10 to 2020-11,5.2.2.  Baker Street Station ,baker street station,5.2,,,
87,2020-10 to 2020-11,5.2.3.  Elephant & Castle Station ,elephant & castle station,5.2,,,
88,2020-10 to 2020-11,5.2.5.  Hampstead Station ,hampstead station,5.2,,,
89,2020-10 to 2020-11,5.2.6.  King’s Cross Station ,king,5.2,,,
90,2020-10 to 2020-11,5.2.8.  Paddington Station ,paddington station,5.2,,,
91,2020-10 to 2020-11,5.2.9.  Piccadilly Circus Station ,piccadilly circus station,5.2,,,
92,2020-10 to 2020-11,5.2.10. Tottenham Court Road Station ,tottenham court road station,5.2,,,
93,2020-10 to 2020-11,5.2.11. Vauxhall Station ,vauxhall station,5.2,,,
94,2020-10 to 2020-11,5.2.12. Waterloo Station ,waterloo station,5.2,,,
95,2020-10 to 2020-11,5.2.13. Westminster Station ,westminster station,5.2,,,
96,2020-10 to 2020-11,5.2.14. Mile End Station ,mile end station,5.2,,,
97,2020-10 to 2020-11,5.2.15. Holborn Station ,holborn station,5.2,,,
98,2020-10 to 2020-11,5.2.16. Kennington Station  ,kennington station,5.2,,,
99,2020-10 to 2020-11,5.2.17. Highbury & Islington Station ,highbury & islington station,5.2,,,
100,2020-10 to 2020-11,5.2.18. Tooting Bec Station ,tooting bec station,5.2,,,
101,2020-10 to 2020-11,5.2.19. London Bridge Station ,london bridge station,5.2,,,
102,2020-10 to 2020-11,5.2.20. Bank Station ,bank station,5.2,,,
103,2020-10 to 2020-11,5.2.21. Moorgate Station ,moorgate station,5.2,,,
104,2020-10 to 2020-11,5.2.22. Embankment Station ,embankment station,5.2,,,
105,2020-10 to 2020-11,5.2.23. Canada Water Station ,canada water station,5.2,,,
106,2020-10 to 2020-11,5.2.24. Colliers Wood Station ,colliers wood station,5.2,,,
107,2020-10 to 2020-11,"Castle station, to 1.78 mg/m3 for the samples collected from N/B platform of Northern ",castle station,1.78,,,
108,2020-10 to 2020-11,between 0.17mg/m3 for the sample collected from Aldgate East station Platform 1 and ,between,0.17,,,
109,2020-10 to 2020-11,3.25mg/m3 for the sample collected from Waterloo station Platform 3.  ,mg,3.25,,,
110,2020-10 to 2020-11,varying  between  0.53mg/m3  for  the  sample  collected  from  Aldgate  East  station ,varying  between,0.53,,,
111,2020-10 to 2020-11,Platform 1 and 4.12mg/m3 for the sample collected from Westminster station Platform ,platform,4.12,,,
112,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  TIME  TIME  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
113,2020-10 to 2020-11,202073/06  PM2.5  Gate Line/ Ticket Hall  27.10.20  09:24  13:52  2.0  536  0.15 ,pm,2.5,,,
114,2020-10 to 2020-11,202073/08  PM2.5  09:38  13:54  2.0  512  0.16 ,pm,2.5,,,
115,2020-10 to 2020-11,202073/10  PM2.5  27.10.20  09:42  13:45  2.0  486  0.17 ,pm,2.5,,,
116,2020-10 to 2020-11,202073/04  RD  Outside Station Supervisor Office  27.10.20  09:18  14:01  2.2  622.6  0.40 ,rd  outside station supervisor office,27.10,,,
117,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (MG/M3) ,particulate matter pm,2.5,,,
118,2020-10 to 2020-11,202073/21  PM2.5  28.10.20  09:06  13:44  2.0  556  < 0.02 ,pm,2.5,,,
119,2020-10 to 2020-11,202073/23  PM2.5  Metropolitan line - Platform 5  09:21  13:59  2.0  542  0.15 ,pm,2.5,,,
120,2020-10 to 2020-11,202073/25  PM2.5  Metropolitan line - Platform 6  09:34  13:59  2.0  530  0.33 ,pm,2.5,,,
121,2020-10 to 2020-11,202073/27  PM2.5  28.10.20  09:08  13:57  2.0  578  0.46 ,pm,2.5,,,
122,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (MG/M3) ,particulate matter pm,2.5,,,
123,2020-10 to 2020-11,202073/29  PM2.5  09:20  14:03  2.0  566  0.49 ,pm,2.5,,,
124,2020-10 to 2020-11,202073/31  PM2.5  28.10.20  09:31  13:53  2.0  524  1.31 ,pm,2.5,,,
125,2020-10 to 2020-11,202073/33  PM2.5  09:44  13:50  2.0  492  0.82 ,pm,2.5,,,
126,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
127,2020-10 to 2020-11,202073/43  PM2.5  Bakerloo Ticket Hall Gate line  29.10.20  09:19  13:33  2.0  508  0.03 ,pm,2.5,,,
128,2020-10 to 2020-11,202073/45  PM2.5  Northern Ticket Hall Gate line  29.10.20  09:12  13:36  2.0  528  0.09 ,pm,2.5,,,
129,2020-10 to 2020-11,202073/47  PM2.5  29.10.20  09:27  13:44  2.0  514  0.39 ,pm,2.5,,,
130,2020-10 to 2020-11,202073/49  PM2.5  29.10.20  09:40  13:50  2.0  500  1.10 ,pm,2.5,,,
131,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
132,2020-10 to 2020-11,202073/51  PM2.5  09:54  13:57  2.0  486  0.06 ,pm,2.5,,,
133,2020-10 to 2020-11,202073/53  PM2.5  09:38  13:51  2.0  506  0.11 ,pm,2.5,,,
134,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
135,2020-10 to 2020-11,202073/65  PM2.5  Metropolitan line - Platform 1  30.10.20  09:21  13:40  2.0  518  0.14 ,pm,2.5,,,
136,2020-10 to 2020-11,"202073/67  PM2.5  Hammersmith, Circle,  09:11  13:35  2.0  528  0.71 ",pm,2.5,,,
137,2020-10 to 2020-11,Metropolitan line - Platform 2  30.10.20 ,metropolitan line - platform,30.10,,,
138,2020-10 to 2020-11,202073/61  PM2.5  Gate Line (A) - North side  30.10.20  09:25  13:45  2.0  520  0.04 ,pm,2.5,,,
139,2020-10 to 2020-11,202073/63  PM2.5  Gate Line (B) - South side  30.10.20  09:35  13:50  2.0  510  0.09 ,pm,2.5,,,
140,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  TIME  TIME  (L/MIN)  AIR (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
141,2020-10 to 2020-11,202073/74  PM2.5  02.11.20  09:15  13:32  2.0  514  0.05 ,pm,2.5,,,
142,2020-10 to 2020-11,202073/76  PM2.5  02.11.20  08:55  13:36  2.0  562  0.70 ,pm,2.5,,,
143,2020-10 to 2020-11,202073/78  PM2.5  08:55  13:40  2.0  570  0.65 ,pm,2.5,,,
144,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  AIR (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
145,2020-10 to 2020-11,202073/92  PM2.5  Main Ticket Hall  09:00  13:11  2.0  502  0.05 ,pm,2.5,,,
146,2020-10 to 2020-11,202073/94  PM2.5  Piccadilly Line - Platform 6  09:00  13:41  2.0  562  0.40 ,pm,2.5,,,
147,2020-10 to 2020-11,202073/96  PM2.5  09:54  13:54  2.0  480  0.29 ,pm,2.5,,,
148,2020-10 to 2020-11,202073/468  PM2.5  09:00  13:10  2.0  500  1.06 ,pm,2.5,,,
149,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  AIR (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
150,2020-10 to 2020-11,202073/100  PM2.5  Metropolitan line - Platform 2  09:26  13:31  2.0  490  0.15 ,pm,2.5,,,
151,2020-10 to 2020-11,202073/102  PM2.5  09:37  13:48  2.0  502  0.46 ,pm,2.5,,,
152,2020-10 to 2020-11,202073/104  PM2.5  09:19  13:42  2.0  526  0.52 ,pm,2.5,,,
153,2020-10 to 2020-11,202073/106  PM2.5  09:10  13:21  2.0  502  0.11 ,pm,2.5,,,
154,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  AIR (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
155,2020-10 to 2020-11,202073/108  PM2.5  09:17  13:44  2.0  534  0.26 ,pm,2.5,,,
156,2020-10 to 2020-11,202073/110  PM2.5  09:40  13:50  2.0  500  0.15 ,pm,2.5,,,
157,2020-10 to 2020-11,PM2.5 AND PM10) ,pm,2.5,,,
158,2020-10 to 2020-11,202073/121  PM2.5  Ticket Hall  04.11.20  08:45  13:05  2.0  505.06  0.04 ,pm,2.5,,,
159,2020-10 to 2020-11,202073/123  PM2.5  04.11.20  09:05  13:28  2.0  514.33  0.48 ,pm,2.5,,,
160,2020-10 to 2020-11,202073/476  PM2.5  01.12.20  09:22  13:31  2.0  498  0.51 ,pm,2.5,,,
161,2020-10 to 2020-11,202073/127  PM2.5  04.11.20  08:54  13:32  2.0  548.11  0.43 ,pm,2.5,,,
162,2020-10 to 2020-11,PM2.5 AND PM10) ,pm,2.5,,,
163,2020-10 to 2020-11,202073/129  PM2.5  04.11.20  09:12  13:24  2.0  494.80  0.44 ,pm,2.5,,,
164,2020-10 to 2020-11,202073/131  PM2.5  04.11.20  08:52  13:12  2.0  509.93  0.70 ,pm,2.5,,,
165,2020-10 to 2020-11,202073/133  PM2.5  09:02  13:15  2.0  499.12  1.06 ,pm,2.5,,,
166,2020-10 to 2020-11,202073/120  RD  Outside of station supervisor office  04.11.20  08:39  13:04  2.2  572.36  < 0.02 ,rd  outside of station supervisor office,04.11,,,
167,2020-10 to 2020-11,PM2.5 AND PM10) ,pm,2.5,,,
168,2020-10 to 2020-11,202073/142  PM2.5  05.11.20  09:10  13:11  2.0  473.73  0.03 ,pm,2.5,,,
169,2020-10 to 2020-11,202073/144  PM2.5  05.11.20  09:19  13:20  2.0  473.73  < 0.02 ,pm,2.5,,,
170,2020-10 to 2020-11,202073/148  PM2.5  05.11.20  09:31  13:34  2.0  477.67  0.39 ,pm,2.5,,,
171,2020-10 to 2020-11,202073/150  PM2.5  09:43  13:44  2.0  473.73  0.52 ,pm,2.5,,,
172,2020-10 to 2020-11,PM2.5 AND PM10) ,pm,2.5,,,
173,2020-10 to 2020-11,202073/146  PM2.5  Bakerloo line - Gate Line  05.11.20  09:18  13:23  2.0  481.60  0.13 ,pm,2.5,,,
174,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  AIR (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
175,2020-10 to 2020-11,202073/159  PM2.5  06.11.20  08:40  12:48  2.0  496  0.05 ,pm,2.5,,,
176,2020-10 to 2020-11,202073/161  PM2.5  06.11.20  09:07  13:08  2.0  482  0.67 ,pm,2.5,,,
177,2020-10 to 2020-11,202073/163  PM2.5  06.11.20  08:56  13:00  2.0  488  0.33 ,pm,2.5,,,
178,2020-10 to 2020-11,202073/165  PM2.5  06.11.20  08:50  12:53  2.0  486  0.38 ,pm,2.5,,,
179,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  AIR (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
180,2020-10 to 2020-11,202073/167  PM2.5  06.11.20  09:02  13:06  2.0  488  0.49 ,pm,2.5,,,
181,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
182,2020-10 to 2020-11,202073/176  PM2.5  Gate Line/ Ticket Hall  09.11.20  07:54  11:59  2.0  487.2  0.03 ,pm,2.5,,,
183,2020-10 to 2020-11,202073/178  PM2.5  08:07  12:17  2.0  497.15  0.74 ,pm,2.5,,,
184,2020-10 to 2020-11,202073/180  PM2.5  09.11.20  08:16  12:22  2.0  492  0.77 ,pm,2.5,,,
185,2020-10 to 2020-11,202073/182  PM2.5  09.11.20  07:57  12:04  2.0  494  0.36 ,pm,2.5,,,
186,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
187,2020-10 to 2020-11,202073/184  PM2.5  08:04  12:09  2.0  490  0.50 ,pm,2.5,,,
188,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
189,2020-10 to 2020-11,202073/191  PM2.5  Gate Line/ Ticket Hall  10.11.20  08:51  13:00  2.0  498  0.17 ,pm,2.5,,,
190,2020-10 to 2020-11,202073/193  PM2.5  10.11.20  09:06  13:06  2.0  480  0.60 ,pm,2.5,,,
191,2020-10 to 2020-11,202073/195  PM2.5  08:58  13:10  2.0  504  0.65 ,pm,2.5,,,
192,2020-10 to 2020-11,PM2.5 AND PM10) ,pm,2.5,,,
193,2020-10 to 2020-11,202073/206  PM2.5  Gate Line/ Ticket Hall (Low level)  11.11.20  09:03  13:29  2.0  532  0.08 ,pm,2.5,,,
194,2020-10 to 2020-11,202073/208  PM2.5  Bakerloo Line - Platform 3 (Northbound)  11.11.20  09:31  13:37  2.0  492  3.25 ,pm,2.5,,,
195,2020-10 to 2020-11,202073/210  PM2.5  Bakerloo Line - Platform 4 (Southbound)  11.11.20  09:37  13:40  2.0  486  0.28 ,pm,2.5,,,
196,2020-10 to 2020-11,202073/212  PM2.5  Northern Line - Platform 1 (Northbound)  11.11.20  09:11  13:37  2.0  532  0.43 ,pm,2.5,,,
197,2020-10 to 2020-11,PM2.5 AND PM10) ,pm,2.5,,,
198,2020-10 to 2020-11,202073/214  PM2.5  Northern Line - Platform 2 (Southbound)  11.11.20  09:00  13:30  2.0  540  0.50 ,pm,2.5,,,
199,2020-10 to 2020-11,202073/216  PM2.5  Jubilee Line - Platform 5 (Westbound)  11.11.20  09:28  13:54  2.0  532  0.44 ,pm,2.5,,,
200,2020-10 to 2020-11,202073/218  PM2.5  09:19  13:47  2.0  536  0.46 ,pm,2.5,,,
201,2020-10 to 2020-11,Jubilee Line - Platform 6 (Eastbound)  11.11.20 ,jubilee line - platform,11.11,,,
202,2020-10 to 2020-11,202073/205  RD  Outside of station supervisor office  11.11.20  08:52  13:27  2.2  605  0.42 ,rd  outside of station supervisor office,11.11,,,
203,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
204,2020-10 to 2020-11,202073/227  PM2.5  Gate Line/ Ticket Hall  12.11.20  08:50  13:00  2.0  500  0.19 ,pm,2.5,,,
205,2020-10 to 2020-11,202073/229  PM2.5  12.11.20  09:00  13:06  2.0  492  1.49 ,pm,2.5,,,
206,2020-10 to 2020-11,202073/231  PM2.5  12.11.20  09:09  13:11  2.0  484  0.30 ,pm,2.5,,,
207,2020-10 to 2020-11,202073/233  PM2.5  12.11.20  09:06  13:16  2.0  500  0.32 ,pm,2.5,,,
208,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
209,2020-10 to 2020-11,202073/235  PM2.5  09:12  13:13  2.0  482  0.44 ,pm,2.5,,,
210,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  AIR (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
211,2020-10 to 2020-11,202073/244  PM2.5  Gate Line/ Ticket Hall  13.11.20  08:37  13:04  2.0  534  0.13 ,pm,2.5,,,
212,2020-10 to 2020-11,202073/246  PM2.5  13.11.20  08:58  13:11  2.0  506  0.36 ,pm,2.5,,,
213,2020-10 to 2020-11,202073/248  PM2.5  13.11.20  09:06  13:13  2.0  494  0.49 ,pm,2.5,,,
214,2020-10 to 2020-11,202073/250  PM2.5  13.11.20  08:54  13:12  2.0  516  0.35 ,pm,2.5,,,
215,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  AIR (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
216,2020-10 to 2020-11,202073/252  PM2.5  08:47  13:09  2.0  524  0.50 ,pm,2.5,,,
217,2020-10 to 2020-11,PM2.5 AND PM10) ,pm,2.5,,,
218,2020-10 to 2020-11,202073/261  PM2.5  Gate Line/ Ticket Hall  16.11.20  08:32  12:40  2.0  496  0.25 ,pm,2.5,,,
219,2020-10 to 2020-11,202073/263  PM2.5  16.11.20  08:39  12:50  2.0  502  0.76 ,pm,2.5,,,
220,2020-10 to 2020-11,202073/265  PM2.5  16.11.20  08:45  12:57  2.0  504  0.67 ,pm,2.5,,,
221,2020-10 to 2020-11,202073/267  PM2.5  09:04  13:09  2.0  490  0.44 ,pm,2.5,,,
222,2020-10 to 2020-11,PM2.5 AND PM10) ,pm,2.5,,,
223,2020-10 to 2020-11,202073/269  PM2.5  08:50  13:01  2.0  502  0.93 ,pm,2.5,,,
224,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
225,2020-10 to 2020-11,202073/278  PM2.5  Gate Line/ Ticket Hall  17.11.12  08:33  12:40  2.0  494  0.18 ,pm,2.5,,,
226,2020-10 to 2020-11,202073/280  PM2.5  17.11.12  08:49  12:52  2.0  486  0.42 ,pm,2.5,,,
227,2020-10 to 2020-11,202073/282  PM2.5  17.11.12  08:41  12:45  2.0  488  0.33 ,pm,2.5,,,
228,2020-10 to 2020-11,202073/284  PM2.5  17.11.12  08:50  12:56  2.0  492  1.36 ,pm,2.5,,,
229,2020-10 to 2020-11,PARTICULATE MATTER PM2.5  (L/MIN)  (LITRES)  (MG/M3) ,particulate matter pm,2.5,,,
230,2020-10 to 2020-11,202073/286  PM2.5  08:40  12:54  2.0  508  1.12 ,pm,2.5,,,
231,2020-10 to 2020-11,PM2.5 AND PM10) ,pm,2.5,,,
232,2020-10 to 2020-11,202073/295  PM2.5  Gate Line/ Ticket Hall  18.11.20  09:15  13:18  2.0  486  < 0.02 ,pm,2.5,,,
