Station,Date,PM2.5 (µg/m³)
"Duty 17 Edgware Road - Due to a casualty on the line 
monitoring was stopped early","06/06/2024 
08:45 to 10:40",0.07
Duty 13 Edgware Road,"07/06/2024 
08:26 to 14:52",0.05
Duty 413 Barking,"11/06/2024 
09:35 to 15:49",0.04
Duty 407 (Friday) Barking,"14/06/2024 
08:00 to 15:46",0.06
Duty 414 Barking,"14/08/2024 
10:10 to 14:28",0.04
Duty 640 Wembley Park,"01/05/2024 
10:30 to 14:00",0.17
Duty 638 Wembley Park,"02/05/2024 
08:50 to 15:23",0.4
Duty 630 (Friday) Wembley Park,"03/05/2024 
07:37 to 14:44",0.35
Duty 439 Edgware,"28/05/2024 
09:25 to 16:23",0.37
Duty 442 Edgware,"29/05/2024 
09:55 to 15:00",0.16
Duty 646 Edgware,"31/05/2024 
09:15 to 16:16",0.32
Duty 32 Cockfosters,"20/06/2024 
09:18 to 12:49",0.27
Duty 428 Arnos Grove,"24/09/2024 
10:04 to 14:26",0.28
Duty 418 Cockfosters,"25/09/2024 
08:08 to 15:20",0.24
Duty 544 Seven Sisters,"08/05/2024 
09:59 to 16:33",0.56
Duty 819 Brixton,"09/05/2024 
09:51 to 15:49",0.37
Duty 816 (Friday) Brixton,"10/05/2024 
08:28 to 14:41",0.37
Northern,"17/08/2023, 18/08/2023 
and 06/10/2023",0.3
Piccadilly,29/08/2023 to 31/08/2023,0.28
Bakerloo,02/08/2023 to 04/08/2023,0.25
Central,"07/08/2023, 08/08/2023 
and 10/08/2023",0.19
Victoria,"24/07/2023, 28/07/2023 
and 31/07/2023",0.19
Circle/H&C,"07/09/2023, 15/09/2023 
and 26/09/2023",0.18
District,"28/09/2023, 29/09/2023 
and 05/10/2023",0.18
Jubilee,"20/07/2023, 21/07/2023 
and 28/07/2023",0.13
